"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"52",20140318,0.003159237,0.004468002,0.004637905,0.000883987,0.002950432,0.00781221,0.004626015,0.011699101,0.010491082,-0.003864603,0.001853676
"53",20140319,0.003359601,-0.01941858,-0.010249858,-0.008232263,-0.009929858,-0.005684321,-0.006281876,-0.007312365,-0.012520514,-0.013414165,-0.018410884
"54",20140320,-0.002233129,0.003993255,0.000554425,-0.002218421,0.005357665,-0.001528643,0.009019846,0.00606606,-0.011836752,0.003397097,0.002887297
"55",20140321,0.021113076,0.008434589,-0.001271819,-0.007049008,0.00467817,-0.005915858,0.003131429,-0.00733417,-0.017204588,0.008793593,0.006205385
"56",20140324,0.017985812,0.002156276,-0.00182038,-0.007204555,0.003756083,-0.010002254,0.006234327,0.004075819,0.008692183,0.001750205,-0.004264984
"57",20140325,0.006033748,0.020827395,0.008728855,-0.001506668,0.007042503,0.012572029,0.00132988,0.011641798,0.008018679,0.005245418,0.008811652
"58",20140326,-0.003631117,-0.009374126,-0.006912459,-0.004123932,-0.001078771,-0.000477349,-0.000810592,-0.006532015,-0.011700559,-0.005538636,-0.010252472
"59",20140327,0.020146355,0.002004176,-0.000682095,0.001051851,0.002071884,-0.000131196,-0.000332921,-0.001191174,0.008317866,0.00943472,0.007773117
"60",20140328,-0.01221282,0.010251571,0.006023878,0.006900974,0.005649923,0.000287594,0.002968814,0.006956444,0.010374452,0.002656444,0.008206789
"61",20140331,-0.006018845,0.005597443,0.009178376,0.003707499,0.003029169,0.010711966,0.005791668,0.012673414,0.003078415,0.008136594,0.002989921
"62",20140401,0.00520141,0.015117544,0.00618763,0.010682962,0.00071782,0.0004705,0.0061129,0.011302983,0.008167604,-0.007527987,0.006010084
"63",20140402,0.0026993,0.012058131,0.005919058,0.00399353,0.000920484,0.001518667,-0.000389228,-0.004511467,0.003367975,-0.004439959,0.000251336
"64",20140403,-0.002448826,-0.00545291,0.001093937,-0.008198749,-0.000318685,-0.001716392,-0.003348153,-0.005147406,-0.076722416,0.001665054,0.013836626
"65",20140404,0.011770771,0.000999267,-0.009418142,-0.017954165,-0.001374698,-0.01088576,-0.007037042,-0.016203074,-0.015137771,0.00548907,0.004891282
"66",20140407,0.003960878,6.1225e-05,-0.01064504,-0.012949443,0.00428343,-0.009333349,-0.007868909,-0.005189471,0.00055966,0.001838536,0.004895679
"67",20140408,0.014240984,0.016069894,-0.001447821,0.001546819,0.008719301,-0.00154259,0.006439627,0.006101055,0.011654564,0.020431171,0.005756151
"68",20140409,0.014896214,0.009247455,0.010203706,0.001451693,0.003322915,0.017201482,0.012136934,0.013436149,0.01481823,-0.00557097,-0.002178567
"69",20140410,0.003344098,-0.020984162,-0.0176901,-0.027926597,-0.008528067,-0.024508141,-0.015326537,-0.020209805,-0.005673239,-0.005422793,-0.009533505
"70",20140411,-0.004631264,-0.005592364,-0.008308631,-0.003934138,-0.003754194,-0.009512625,-0.01158648,-0.008264957,-0.006494542,0.000559171,-0.006984145
"71",20140414,0.008378808,0.009876491,0.00616637,0.012302297,0.009506927,0.002003879,0.009576391,0.012203832,0.000433354,0.006882147,0.007018601
"72",20140415,-0.017778397,-0.014870539,0.005370862,-0.000661641,0.004497977,0.009622793,-0.000924123,0.005663855,-0.00840571,0.011569976,0.01196645
"73",20140416,0.006025363,0.011489408,0.013515432,0.016439829,0.007272756,0.0063352,0.003259405,0.002765998,0.008829506,0.009029648,0.006067167
"74",20140417,0.005799763,0.000967187,0.009239306,-0.001640948,0.000721418,0.001027848,0.001936816,0.005124395,0.000838344,-0.011157048,-0.005509397
"75",20140421,-0.002592242,-0.001656329,0.003033066,0.005040995,-0.001468094,0.013574837,-0.002712876,0.002847521,0.000482819,-0.000345004,0.005146972
"76",20140422,-0.002668189,0.001512989,-0.000188661,0.006312103,-0.00069808,0.010566385,-1.12169e-05,0.001204394,0.002234708,0.001402199,3.28695e-05
"77",20140423,-0.009036047,-0.001774593,0.003197454,-0.007165376,-0.0023589,-0.001598875,-0.003957286,-0.007444838,-0.021792553,-0.000304994,-0.002888489
"78",20140424,-0.004441556,0.002241961,-0.003367856,0.003581315,0.002281222,-0.002231864,0.001589874,0.00772523,-0.004731914,0.005761691,0.005964584
"79",20140425,-0.003650176,-0.00612078,-0.006245133,-0.021280147,0.002866316,-0.00340044,-0.011787743,-0.014981536,-0.011810848,0.011082846,-0.005643661
"80",20140428,0.005951825,-0.012825609,0.00225957,-0.003756525,0.012399255,0.012920921,-0.008499338,0.01576868,0.007456272,0.005821046,0.00762634
"81",20140429,0.007843857,0.006652705,7.15346e-05,0.007884922,-0.002748161,0.006887072,0.01266851,0.000526523,0.024286076,-0.002930237,0.001826896
"82",20140430,0.003253534,0.004387254,0.004122454,0.005038695,-0.005097553,-0.00066542,-0.000443236,0.001407121,0.008914899,-0.002960407,0.002657379
"83",20140501,-0.003445054,-0.012477884,-0.002976835,0.004961691,0.000519841,0.000234403,-0.001676163,-0.004512077,-9.35207e-05,0.001777873,0.004594372
"84",20140502,0.001055088,0.009598396,-0.000756348,0.003894113,-0.004523041,-0.006630281,-0.001853898,-0.003987412,-0.000526573,-0.019546723,-0.00092165
