Date,Communication,Consumer_dis,Consumer_staple,Energy,Materials,Utilities,Real_estate,IT,Industrials,Healthcare,Financials
6/12/07,56.217358,53.582626,50.555996,77.031548,64.444656,53.93647,43.33218,49.981773,58.482944,50.14072,50.67849
6/13/07,56.726475,54.05159,51.020145,78.483505,65.683685,54.921074,44.29174,50.550655,59.453751,50.595882,51.414646
6/14/07,57.00169,54.435299,51.042603,79.982277,66.232597,55.190208,43.814899,51.048443,59.922977,50.653805,51.352646
6/15/07,57.166798,54.767849,51.199818,80.997116,66.985443,56.010708,44.297626,51.448437,60.319366,51.017921,51.662617
6/18/07,57.228729,54.725212,51.005169,81.317154,67.008965,55.446186,43.614761,51.590652,60.149487,50.844131,51.577354
6/19/07,57.442017,54.784904,50.795532,81.137611,67.353996,55.551201,43.697186,51.581764,60.626816,50.868969,51.685852
6/20/07,56.726475,54.537624,50.526043,78.834778,66.460022,54.205585,42.384418,51.092884,60.141407,50.173832,50.949703
6/21/07,56.815922,54.460884,50.788067,80.442841,67.024643,54.487854,42.619904,51.661762,60.36792,50.339333,50.988457
6/22/07,56.237984,54.14539,50.36882,79.888611,66.89917,53.818314,42.460945,51.155098,59.939156,49.619366,50.291035
6/25/07,56.004066,53.846947,50.204113,79.037766,66.028709,53.802467,41.764771,50.879543,59.558922,49.42905,49.898159
6/26/07,55.880222,53.69347,50.144234,77.695076,65.299416,53.624149,41.60384,50.772877,59.356678,49.743515,49.711052
6/27/07,56.561352,54.196552,50.555996,78.811363,65.667984,54.443142,42.670761,51.377316,59.672173,50.13245,50.272335
6/28/07,56.802155,54.256241,50.585938,78.499107,65.973816,54.350662,42.45023,51.430649,59.833981,50.182102,50.217754
6/29/07,56.857201,54.11982,50.511066,78.944069,66.193405,54.489361,42.289291,51.217316,59.728817,49.925564,49.773426
7/2/07,57.620899,54.477936,50.915337,80.021332,67.291252,55.572552,43.266792,51.563988,60.481182,50.455193,50.490593
7/3/07,57.944252,54.56321,50.922817,80.575554,67.416725,55.506477,43.147591,51.937313,60.659184,50.546219,50.630905
7/5/07,57.81353,54.904282,50.915337,80.645828,67.785301,55.341381,43.797298,52.221756,60.74007,50.595882,50.537369
7/6/07,58.102501,55.330624,50.967743,81.395203,68.224426,55.110203,43.743641,52.408424,60.966599,50.579319,50.70108
7/9/07,58.068108,55.202713,51.072544,82.300743,68.365601,55.242306,43.713829,52.470646,61.371086,50.537949,50.52177
7/10/07,56.829685,54.162441,50.413738,81.723083,67.259895,54.423306,42.605198,52.052868,60.464993,50.033138,49.446018
7/11/07,57.304409,54.367092,50.630852,82.050964,67.895088,54.819592,42.521763,52.346199,60.974674,50.364166,49.57074
7/12/07,58.102501,54.989552,51.431896,83.518509,69.651688,55.671623,43.070114,53.323971,62.05875,51.133766,50.584145
7/13/07,58.246994,55.253895,51.634048,84.088341,70.569168,56.351906,43.481384,53.359528,62.479446,51.067566,50.693287
7/16/07,58.522182,55.108925,51.551685,82.917435,69.832047,55.598949,43.117798,53.421741,63.021461,51.042736,50.513977
7/17/07,58.405205,55.091873,51.229763,82.230484,70.357445,55.486679,42.962833,53.839523,63.215622,50.844131,50.56855
7/18/07,58.095615,54.85313,51.162384,83.698059,70.569168,55.863155,42.867458,53.457302,63.078098,50.645531,49.874756
7/19/07,58.439617,55.185665,51.289665,84.400612,70.616211,56.827442,43.028389,54.026188,63.514961,50.496571,49.843582
7/20/07,57.97179,54.469414,50.8255,84.096161,69.565414,55.988644,42.277386,53.599518,62.600758,50.157276,49.009487
7/23/07,58.405205,54.469414,51.169872,84.213257,69.643829,56.219826,41.544235,53.741734,62.972908,50.496571,48.853573
7/24/07,57.786007,53.377975,50.600906,81.769928,68.247978,54.377075,40.703827,53.003983,61.864582,49.950394,47.53616
